分类,关系链编码,主称呼,所有称呼(别名)
主要关系,"w,os,h",大姨夫,大姨夫、大姨姐夫、姨姐夫、襟兄、大尹子
主要关系,"w,ls",小姨子,小姨子、小姨妹、小茙儿、姨妹、姨仔、姨妹子
主要关系,"w,ls,h",小姨夫,小姨夫、小姨妹夫、姨妹夫、小茙夫、襟弟、小尹子
主要关系,"w,xs",姨子,姨子、妻姨
主要关系,"w,xs,h",连襟,连襟、姨夫、连桥、两桥、两乔、同门、僚婿、娅婿、连袂、连夹、姨夫爷、老襟、一担挑、老挑、挑担、担儿挑、连襟儿、襟兄弟、友婿、妻尹、娅
主要关系,"w,xs,s",姨甥,姨甥
主要关系,"w,xs,d",姨甥女,姨甥女
主要关系,ob,哥哥,哥哥、哥、胞兄、亲哥、兄亲、老哥、依哥、阿哥、兄台、大佬、家兄、兄长、元兄、长兄、几哥
主要关系,"ob,w",嫂子,嫂子、嫂、嫂嫂、阿嫂、家嫂、兄姊、兄嫂、兄妇、兄妻、几嫂
主要关系,"ob,s",侄子,侄子、兄子
主要关系,"ob,d",侄女,侄女、兄女
主要关系,lb,弟弟,弟弟、弟、胞弟、亲弟、弟亲、老弟、依弟、阿弟、弟子、细佬、小弟、几弟
主要关系,"lb,w",弟妹,弟妹、弟媳、弟媳妇、弟媳妇子、弟新妇、老弟嫂
主要关系,"lb,s",侄子,侄子、弟子
主要关系,"lb,d",侄女,侄女、弟女
主要关系,"xb,s",侄子,侄子、侄男、侄儿子、侄小子、嫡侄、亲侄、侄儿、侄仔、阿侄、老侄、侄
主要关系,"xb,s,w",侄媳妇,侄媳妇、侄媳、侄嫂、侄妇
主要关系,"xb,d",侄女,侄女、侄囡、侄女儿、侄丫头、侄闺女
主要关系,"xb,d,h",侄女婿,侄女婿、侄婿、侄郎
主要关系,"xb,s,s",侄孙,侄孙、侄孙子、侄孙男
主要关系,"xb,s,s,w",侄孙媳妇,侄孙媳妇、侄孙媳
主要关系,"xb,s,d",侄孙女,侄孙女、侄孙囡
主要关系,"xb,s,d,h",侄孙女婿,侄孙女婿、侄孙婿
主要关系,"xb,s,s,s",侄曾孙,侄曾孙
主要关系,"xb,s,s,d",侄曾孙女,侄曾孙女
主要关系,"xb,s,s,s,s",侄玄孙,侄玄孙
主要关系,"xb,s,s,s,d",侄玄孙女,侄玄孙女
主要关系,"xb,d,s",侄外孙,侄外孙
主要关系,"xb,d,d",侄外孙女,侄外孙女
主要关系,"xs,s,s,s",甥曾孙,甥曾孙
主要关系,"xs,s,s,d",甥曾孙女,甥曾孙女
主要关系,"xs,d,s",甥外孙,甥外孙
主要关系,"xs,d,d",甥外孙女,甥外孙女
主要关系,os,姐姐,姐姐、姐、胞姐、亲姐、姊亲、老姐、依姐、阿姐、姊台、家姐、长姐、姊仔、几姐
主要关系,"os,h",姐夫,姐夫、姐丈、姐婿、姐郎、姊兄、姐夫哥、胞姐夫
主要关系,ls,妹妹,妹妹、妹、胞妹、亲妹、妹亲、老妹、依妹、阿妹、妹子、小妹、妹儿、几妹
主要关系,"ls,h",妹夫,妹夫、妹丈、妹婿、妹郎、妹弟、妹夫子、胞妹夫
主要关系,"xs,s",外甥,外甥、甥子、甥男、甥儿、甥儿子、甥仔、甥
主要关系,"xs,s,w",甥媳妇,甥媳妇、甥媳、甥嫂、甥妇、甥儿息妇儿
主要关系,"xs,s,s",甥孙,甥孙、远甥、弥甥
主要关系,"xs,s,d",甥孙女,甥孙女、远甥女、弥甥女
主要关系,"xs,d",外甥女,外甥女、甥女、甥囡、甥女儿、甥闺女
主要关系,"xs,d,h",甥女婿,甥女婿、甥婿、甥郎、甥儿息婿儿
主要关系,s,儿子,儿子、男儿、息男、闺男、囝囝、囝男、囝儿、小子、娃子、男亲、伢子、长子、次子、幼子、儿、仔、囝、子、阿仔、仔仔、后生、公子、少爷、一世孙
主要关系,"s,w",儿媳,儿媳、儿媳妇、息妇儿、儿媳妇儿、新妇、新妇囝、心抱、息妇、儿妇、子妇、小妇、少奶奶、少夫人
主要关系,"s,w,f",亲家公,亲家公
主要关系,"s,w,f,f&o",姻伯,姻伯
主要关系,"s,w,f,f&l",姻叔,姻叔
主要关系,"s,w,m",亲家母,亲家母
主要关系,"s,w,xb",姻侄,姻侄、世侄
主要关系,"s,w,xb,w",姻侄媳,姻侄媳
主要关系,"s,w,xb,s",姻侄孙,姻侄孙
主要关系,"s,w,xb,d",姻侄孙女,姻侄孙女
主要关系,"s,w,xs",姻侄女,姻侄女
主要关系,"s,w,xs,h",姻侄婿,姻侄婿
主要关系,"s,w,xs,s",姻侄外孙,姻侄外孙
主要关系,"s,w,xs,d",姻侄外孙女,姻侄外孙女
主要关系,"s,s",孙子,孙子、孙男、孙男儿、孙儿、长孙、嗣孙、孙仔、孙囝、孙娃子、孙伢子、二世孙
主要关系,"s,s,w",孙媳妇,孙媳妇、孙媳、孙妇、孙息妇、孙新妇
主要关系,"s,s,s",曾孙,曾孙、曾孙男、重孙、重孙子、息仔、三世孙
主要关系,"s,s,s,w",曾孙妇,曾孙妇、重孙媳妇
主要关系,"s,s,s,s",玄孙,玄孙、元孙、膀孙、重重孙、四世孙
主要关系,"s,s,s,s,w",玄孙媳妇,玄孙媳妇
主要关系,"s,s,s,s,s",来孙,来孙、五世孙
主要关系,"s,s,s,s,s,w",来孙媳妇,来孙媳妇
主要关系,"s,s,s,s,s,s",晜孙,晜孙、昆孙、六世孙
主要关系,"s,s,s,s,s,s,w",晜孙媳妇,晜孙媳妇
主要关系,"s,s,s,s,s,s,s",仍孙,仍孙、礽孙、七世孙
主要关系,"s,s,s,s,s,s,s,w",仍孙媳妇,仍孙媳妇
主要关系,"s,s,s,s,s,s,s,s",云孙,云孙、八世孙
主要关系,"s,s,s,s,s,s,s,s,w",云孙媳妇,云孙媳妇
主要关系,"s,s,s,s,s,s,s,s,s",耳孙,耳孙、远孙、裔孙、季孙、九世孙
主要关系,"s,s,s,s,s,s,s,s,s,w",耳孙媳妇,耳孙媳妇
主要关系,"s,s,s,s,s,s,s,s,s,s",弥孙,弥孙、十世孙
主要关系,"s,s,s,s,s,s,s,s,s,s,w",弥孙媳妇,弥孙媳妇
主要关系,"s,s,s,s,s,s,s,s,s,s,s",胎孙,胎孙、十一世孙
主要关系,"s,s,s,s,s,s,s,s,s,s,s,w",胎孙媳妇,胎孙媳妇
主要关系,"s,s,s,s,s,s,s,s,s,s,s,s",承孙,承孙、十二世孙
主要关系,"s,s,s,s,s,s,s,s,s,s,s,s,w",承孙媳妇,承孙媳妇
主要关系,"s,s,s,s,s,s,s,s,s,s,s,d",承孙女,承孙女
主要关系,"s,s,s,s,s,s,s,s,s,s,s,d,h",承孙女婿,承孙女婿
主要关系,"s,s,s,s,s,s,s,s,s,s,d",胎孙女,胎孙女
主要关系,"s,s,s,s,s,s,s,s,s,s,d,h",胎孙女婿,胎孙女婿
主要关系,"s,s,s,s,s,s,s,s,s,s,d,s",承外孙,承外孙
主要关系,"s,s,s,s,s,s,s,s,s,s,d,s,w",承外孙媳妇,承外孙媳妇
主要关系,"s,s,s,s,s,s,s,s,s,s,d,d",承外孙女,承外孙女
主要关系,"s,s,s,s,s,s,s,s,s,s,d,d,h",承外孙女婿,承外孙女婿
主要关系,"s,s,s,s,s,s,s,s,s,d",弥孙女,弥孙女
主要关系,"s,s,s,s,s,s,s,s,s,d,h",弥孙女婿,弥孙女婿
主要关系,"s,s,s,s,s,s,s,s,s,d,s",胎外孙,胎外孙
主要关系,"s,s,s,s,s,s,s,s,s,d,s,w",胎外孙媳妇,胎外孙媳妇
主要关系,"s,s,s,s,s,s,s,s,s,d,d",胎外孙女,胎外孙女
主要关系,"s,s,s,s,s,s,s,s,s,d,d,h",胎外孙女婿,胎外孙女婿
主要关系,"s,s,s,s,s,s,s,s,d",耳孙女,耳孙女
主要关系,"s,s,s,s,s,s,s,s,d,h",耳孙女婿,耳孙女婿
主要关系,"s,s,s,s,s,s,s,s,d,s",弥外孙,弥外孙
主要关系,"s,s,s,s,s,s,s,s,d,s,w",弥外孙媳妇,弥外孙媳妇
主要关系,"s,s,s,s,s,s,s,s,d,d",弥外孙女,弥外孙女
主要关系,"s,s,s,s,s,s,s,s,d,d,h",弥外孙女婿,弥外孙女婿
主要关系,"s,s,s,s,s,s,s,d",云孙女,云孙女
主要关系,"s,s,s,s,s,s,s,d,h",云孙女婿,云孙女婿
主要关系,"s,s,s,s,s,s,s,d,s",耳外孙,耳外孙
主要关系,"s,s,s,s,s,s,s,d,s,w",耳外孙媳妇,耳外孙媳妇
主要关系,"s,s,s,s,s,s,s,d,d",耳外孙女,耳外孙女
主要关系,"s,s,s,s,s,s,s,d,d,h",耳外孙女婿,耳外孙女婿
主要关系,"s,s,s,s,s,s,d",仍孙女,仍孙女、礽孙女
主要关系,"s,s,s,s,s,s,d,h",仍孙女婿,仍孙女婿
主要关系,"s,s,s,s,s,s,d,s",云外孙,云外孙
主要关系,"s,s,s,s,s,s,d,s,w",云外孙媳妇,云外孙媳妇
主要关系,"s,s,s,s,s,s,d,d",云外孙女,云外孙女
主要关系,"s,s,s,s,s,s,d,d,h",云外孙女婿,云外孙女婿
主要关系,"s,s,s,s,s,d",晜孙女,晜孙女
主要关系,"s,s,s,s,s,d,h",晜孙女婿,晜孙女婿
主要关系,"s,s,s,s,s,d,s",仍外孙,仍外孙
主要关系,"s,s,s,s,s,d,s,w",仍外孙媳妇,仍外孙媳妇
主要关系,"s,s,s,s,s,d,d",仍外孙女,仍外孙女
主要关系,"s,s,s,s,s,d,d,h",仍外孙女婿,仍外孙女婿
主要关系,"s,s,s,s,d",来孙女,来孙女
主要关系,"s,s,s,s,d,h",来孙女婿,来孙女婿
主要关系,"s,s,s,s,d,s",晜外孙,晜外孙
主要关系,"s,s,s,s,d,s,w",晜外孙媳妇,晜外孙媳妇
主要关系,"s,s,s,s,d,d",晜外孙女,晜外孙女
主要关系,"s,s,s,s,d,d,h",晜外孙女婿,晜外孙女婿
主要关系,"s,s,s,d",玄孙女,玄孙女、元孙女、膀孙女
主要关系,"s,s,s,d,h",玄孙女婿,玄孙女婿
主要关系,"s,s,s,d,s",来外孙,来外孙
主要关系,"s,s,s,d,s,w",来外孙媳妇,来外孙媳妇
主要关系,"s,s,s,d,d",来外孙女,来外孙女
主要关系,"s,s,s,d,d,h",来外孙女婿,来外孙女婿
主要关系,"s,s,d",曾孙女,曾孙女、重孙女、息女
主要关系,"s,s,d,h",曾孙女婿,曾孙女婿
主要关系,"s,s,d,s",玄外孙,玄外孙
主要关系,"s,s,d,s,w",玄外孙媳妇,玄外孙媳妇
主要关系,"s,s,d,d",玄外孙女,玄外孙女
主要关系,"s,s,d,d,h",玄外孙女婿,玄外孙女婿
主要关系,"s,d",孙女,孙女、孙女儿、孙囡、孙囡儿、女孙、孙女子
主要关系,"s,d,h",孙女婿,孙女婿、孙婿、孙郎、孙息婿
主要关系,"s,d,s",曾外孙,曾外孙、外息仔
主要关系,"s,d,s,w",曾外孙媳妇,曾外孙媳妇
主要关系,"s,d,s,s",曾外曾孙,曾外曾孙
主要关系,"s,d,s,s,w",曾外曾孙媳妇,曾外曾孙媳妇
主要关系,"s,d,s,d",曾外曾孙女,曾外曾孙女
主要关系,"s,d,s,d,h",曾外曾孙女婿,曾外曾孙女婿
主要关系,"s,d,d",曾外孙女,曾外孙女、外息女
主要关系,"s,d,d,h",曾外孙女婿,曾外孙女婿
主要关系,"s,d,d,s",曾外曾外孙,曾外曾外孙
主要关系,"s,d,d,s,w",曾外曾外孙媳妇,曾外曾外孙媳妇
主要关系,"s,d,d,d",曾外曾外孙女,曾外曾外孙女
主要关系,"s,d,d,d,h",曾外曾外孙女婿,曾外曾外孙女婿
主要关系,d,女儿,女儿、千金、小姐、掌上明珠、息女、闺女、囡囡、囡女、囡儿、乖囡、囡嗯、丫头、姑娘、妮子、女亲、长女、次女、幼女、女、阿女、女女
主要关系,"d,h",女婿,女婿、姑爷、姑爷儿、女婿子、女婿儿、儿婿、子婿、息婿、小婿、快婿、郎婿、郎婿子、息婿儿、囝婿、囡婿、东床、半子、甥馆、女夫
主要关系,"d,h,f",亲家公,亲家公
主要关系,"d,h,f,f&o",姻伯,姻伯
主要关系,"d,h,f,f&l",姻叔,姻叔
主要关系,"d,h,m",亲家母,亲家母
主要关系,"d,h,xb",姻侄,姻侄、世侄
主要关系,"d,h,xb,w",姻侄媳,姻侄媳
主要关系,"d,h,xb,s",姻侄孙,姻侄孙
主要关系,"d,h,xb,d",姻侄孙女,姻侄孙女
主要关系,"d,h,xs",姻侄女,姻侄女
主要关系,"d,h,xs,h",姻侄婿,姻侄婿
主要关系,"d,h,xs,s",姻侄外孙,姻侄外孙
主要关系,"d,h,xs,d",姻侄外孙女,姻侄外孙女
主要关系,"d,s",外孙,外孙、外孙子、外孙儿
主要关系,"d,s,w",外孙媳妇,外孙媳妇、外孙妇、外孙新妇
主要关系,"d,s,s",外曾孙,外曾孙、重外孙、外息仔
主要关系,"d,s,s,w",外曾孙媳妇,外曾孙媳妇、外曾孙妇
主要关系,"d,s,s,s",外玄孙,外玄孙、外元孙、外膀孙
主要关系,"d,s,s,s,w",外玄孙媳妇,外玄孙媳妇
主要关系,"d,s,s,d",外玄孙女,外玄孙女、外元孙女、外膀孙女
主要关系,"d,s,s,d,h",外玄孙女婿,外玄孙女婿
主要关系,"d,s,d",外曾孙女,外曾孙女、重外孙女、外息女
主要关系,"d,s,d,h",外曾孙女婿,外曾孙女婿、重外孙女婿
主要关系,"d,s,d,s",外玄外孙,外玄外孙
主要关系,"d,s,d,s,w",外玄外孙媳妇,外玄外孙媳妇
主要关系,"d,s,d,d",外玄外孙女,外玄外孙女
主要关系,"d,s,d,d,h",外玄外孙女婿,外玄外孙女婿
主要关系,"d,d",外孙女,外孙女、外孙囡、外孙女儿
主要关系,"d,d,h",外孙女婿,外孙女婿、外孙婿、外孙郎
主要关系,"d,d,s",外曾外孙,外曾外孙、外息仔
主要关系,"d,d,s,w",外曾外孙媳妇,外曾外孙媳妇
主要关系,"d,d,s,s",外曾外曾孙,外曾外曾孙
主要关系,"d,d,s,s,w",外曾外曾孙媳妇,外曾外曾孙媳妇
主要关系,"d,d,s,d",外曾外曾孙女,外曾外曾孙女
主要关系,"d,d,s,d,h",外曾外曾孙女婿,外曾外曾孙女婿
主要关系,"d,d,d",外曾外孙女,外曾外孙女、外息女
主要关系,"d,d,d,h",外曾外孙女婿,外曾外孙女婿
主要关系,"d,d,d,s",外曾外曾外孙,外曾外曾外孙
主要关系,"d,d,d,s,w",外曾外曾外孙媳妇,外曾外曾外孙媳妇
主要关系,"d,d,d,d",外曾外曾外孙女,外曾外曾外孙女
主要关系,"d,d,d,d,h",外曾外曾外孙女婿,外曾外曾外孙女婿
主要关系,"1,xb,w,xb",叔眷兄弟,叔眷兄弟
主要关系,"1,xb,w,xb,s",叔眷舅男,叔眷舅男
主要关系,"1,xb,w,xb,d",叔眷舅女,叔眷舅女
主要关系,"1,xb,w,xs",叔眷姊妹,叔眷姊妹
主要关系,"1,xb,w,xs,s",叔眷姨男,叔眷姨男
主要关系,"1,xb,w,xs,d",叔眷姨女,叔眷姨女
主要关系,"1,xb,s",从男,从男、从子
主要关系,"1,xb,s,s",从孙,从孙
主要关系,"1,xb,s,s,s",从曾孙,从曾孙
主要关系,"1,xb,s,s,s,s",从玄孙,从玄孙
主要关系,"1,xb,s,w",从妇,从妇
主要关系,"1,xb,d",从女,从女、从子
主要关系,"1,xb,d,h",从婿,从婿
主要关系,"1,xs,h,xb",姑姻兄弟,姑姻兄弟
主要关系,"1,xs,h,xb,s",姑姻叔男,姑姻叔男
主要关系,"1,xs,h,xb,d",姑姻叔女,姑姻叔女
主要关系,"1,xs,h,xs",姑姻姊妹,姑姻姊妹
主要关系,"1,xs,h,xs,s",姑姻姑男,姑姻姑男
主要关系,"1,xs,h,xs,d",姑姻姑女,姑姻姑女
主要关系,"1,xs,s,s",离孙男,离孙男、离孙子
主要关系,"1,xs,s,d",离孙女,离孙女
主要关系,"0,xb,w,xb",舅眷兄弟,舅眷兄弟
主要关系,"0,xb,w,xb,s",舅眷舅男,舅眷舅男
主要关系,"0,xb,w,xb,d",舅眷舅女,舅眷舅女
主要关系,"0,xb,w,xs",舅眷姊妹,舅眷姊妹
主要关系,"0,xb,w,xs,s",舅眷姨男,舅眷姨男
主要关系,"0,xb,w,xs,d",舅眷姨女,舅眷姨女
主要关系,"0,xs,h,xb",姨姻兄弟,姨姻兄弟
主要关系,"0,xs,h,xb,s",姨姻叔男,姨姻叔男
主要关系,"0,xs,h,xb,d",姨姻叔女,姨姻叔女
主要关系,"0,xs,h,xs",姨姻姊妹,姨姻姊妹
主要关系,"0,xs,h,xs,s",姨姻姑男,姨姻姑男
主要关系,"0,xs,h,xs,d",姨姻姑女,姨姻姑女
主要关系,"0,xb,s",娘家侄子,娘家侄子、娘家侄
主要关系,"0,xb,s,s",归孙男,归孙男、归孙子
主要关系,"0,xb,s,d",归孙女,归孙女
主要关系,"0,xb,d",娘家侄女,娘家侄女
主要关系,"0,xs,s",姨甥,姨甥、姨甥男、从男、从子
主要关系,"0,xs,s,w",从妇,从妇
主要关系,"0,xs,d",姨甥女,姨甥女、从女、从子
主要关系,"0,xs,d,h",从婿,从婿
主要关系,"0,xs,s,s",姨甥孙,姨甥孙、姨孙、姨甥孙男、姨孙男
主要关系,"0,xs,s,d",姨甥孙女,姨甥孙女、姨孙女
主要关系,"0,xs,d,s",姨甥外孙,姨甥外孙、姨外孙、姨甥外孙男、姨外孙男
主要关系,"0,xs,d,d",姨甥外孙女,姨甥外孙女、姨外孙女
并称关系,"[f,f|f,m|m,f],[f,m],f",老太奶爷,老太奶爷、祖太奶爷
并称关系,"[f,f|f,m|m,f],[f,m],m",老太奶奶,老太奶奶、祖太奶奶
并称关系,"[f,m|m,f|m,m],[f,m],f",老太姥爷,老太姥爷、祖太姥爷
并称关系,"[f,m|m,f|m,m],[f,m],m",老太姥姥,老太姥姥、祖太姥姥
并称关系,"[f|m],[f|m],f",太老爷,太老爷
并称关系,"[f|m],[f|m],f,ob",伯太老爷,伯太老爷
并称关系,"[f|m],[f|m],f,ob,w",伯太老姥,伯太老姥
并称关系,"[f|m],[f|m],f,lb",叔太老爷,叔太老爷
并称关系,"[f|m],[f|m],f,lb,w",叔太老姥,叔太老姥
并称关系,"[f|m],[f|m],f,xs",姑太老姥,姑太老姥
并称关系,"[f|m],[f|m],f,xs,h",姑太老爷,姑太老爷
并称关系,"[f|m],[f|m],m",太老姥,太老姥
并称关系,"[f|m],[f|m],m,xb",舅太老爷,舅太老爷
并称关系,"[f|m],[f|m],m,xb,w",舅太老姥,舅太老姥
并称关系,"[f|m],[f|m],m,xs",姨太老姥,姨太老姥
并称关系,"[f|m],[f|m],m,xs,h",姨太老爷,姨太老爷
并称关系,"[f,f|f,m|m,f],f",太奶爷,太奶爷、祖奶爷、祖爷爷
并称关系,"[f,f|f,m|m,f],f,ob",伯太奶爷,伯太奶爷、太伯奶爷
并称关系,"[f,f|f,m|m,f],f,ob,w",伯太奶奶,伯太奶奶、太伯奶奶
并称关系,"[f,f|f,m|m,f],f,lb",叔太奶爷,叔太奶爷、太叔奶爷
并称关系,"[f,f|f,m|m,f],f,lb,w",叔太奶奶,叔太奶奶、太叔奶奶
并称关系,"[f,f|f,m|m,f],f,xs",姑太奶奶,姑太奶奶、太姑奶奶
并称关系,"[f,f|f,m|m,f],f,xs,h",姑太奶爷,姑太奶爷、太姑奶爷
并称关系,"[f,f|f,m|m,f],m",太奶奶,太奶奶、祖奶奶
并称关系,"[f,f|f,m|m,f],m,xb",舅太奶爷,舅太奶爷、太舅奶爷
并称关系,"[f,f|f,m|m,f],m,xb,w",舅太奶奶,舅太奶奶、太舅奶奶
并称关系,"[f,f|f,m|m,f],m,xs",姨太奶奶,姨太奶奶、太姨奶奶
并称关系,"[f,f|f,m|m,f],m,xs,h",姨太奶爷,姨太奶爷、太姨奶爷
并称关系,"[f,m|m,f|m,m],f",太姥爷,太姥爷、祖姥爷、太毑爷
并称关系,"[f,m|m,f|m,m],f,ob",伯太姥爷,伯太姥爷、伯叔姥爷
并称关系,"[f,m|m,f|m,m],f,ob,w",伯太姥姥,伯太姥姥、太伯姥姥
并称关系,"[f,m|m,f|m,m],f,lb",叔太姥爷,叔太姥爷、太叔姥爷
并称关系,"[f,m|m,f|m,m],f,lb,w",叔太姥姥,叔太姥姥、太叔姥姥
并称关系,"[f,m|m,f|m,m],f,xs",姑太姥姥,姑太姥姥、太姑姥姥
并称关系,"[f,m|m,f|m,m],f,xs,h",姑太姥爷,姑太姥爷、太姑姥爷
并称关系,"[f,m|m,f|m,m],m",太姥姥,太姥姥、祖姥姥、太毑毑、太姥
并称关系,"[f,m|m,f|m,m],m,xb",舅太姥爷,舅太姥爷、太舅姥爷
并称关系,"[f,m|m,f|m,m],m,xb,w",舅太姥姥,舅太姥姥、太舅姥姥
并称关系,"[f,m|m,f|m,m],m,xs",姨太姥姥,姨太姥姥、太姨姥姥
并称关系,"[f,m|m,f|m,m],m,xs,h",姨太姥爷,姨太姥爷、太姨姥爷
并称关系,"[f|m],[f|m],[f|m]",曾祖辈,曾祖辈、祖祖、老太、阿太
并称关系,"[f|m],[f|m]",祖辈,祖辈
并称关系,"[f|m],f",老爷,老爷
并称关系,"[f|m],f,ob",伯老爷,伯老爷
并称关系,"[f|m],f,ob,w",伯老姥,伯老姥
并称关系,"[f|m],f,lb",叔老爷,叔老爷
并称关系,"[f|m],f,lb,w",叔老姥,叔老姥
并称关系,"[f|m],f,xs",姑老姥,姑老姥
并称关系,"[f|m],f,xs,h",姑老爷,姑老爷
并称关系,"[f|m],m",老姥,老姥
并称关系,"[f|m],m,xb",舅老爷,舅老爷
并称关系,"[f|m],m,xb,w",舅老姥,舅老姥
并称关系,"[f|m],m,xs",姨老姥,姨老姥
并称关系,"[f|m],m,xs,h",姨老爷,姨老爷
并称关系,"f,f,[f|m]",曾祖父母,曾祖父母
并称关系,"f,f,[f,xs|m,xb],s",舅姑爷爷,舅姑爷爷、舅姑爷
并称关系,"f,[f|m]",祖父母,祖父母、爷爷奶奶
并称关系,"f,[ob|ob,w]",伯父母,伯父母
并称关系,"f,[lb|lb,w]",叔父母,叔父母
并称关系,"f,xb,[s|d]",堂兄弟姐妹,堂兄弟姐妹、堂姐妹兄弟、从父兄弟姐妹
并称关系,"f,[xs|xs,h]",姑父母,姑父母
并称关系,"f,xs,[s|d]",姑表兄弟姐妹,姑表兄弟姐妹
并称关系,"m,[f|m],f",老外公,老外公、老外爷、老姥爷
并称关系,"m,[f|m],m,",老外婆,老外婆、老外奶、老姥姥、老姥娘、老嫏娘
并称关系,"m,[f|m]",外祖父母,外祖父母、外公外婆、姥姥姥爷
并称关系,"m,f,[f,xs|m,xb],s",舅姑姥爷,舅姑姥爷
并称关系,"m,[xb|xb,w]",舅父母,舅父母
并称关系,"m,xb,[s|d]",舅表兄弟姐妹,舅表兄弟姐妹
并称关系,"m,[xs|xs,h]",姨父母,姨父母
并称关系,"m,xs,[s|d]",姨兄弟姐妹,姨兄弟姐妹、姨姐妹兄弟、从母兄弟姐妹
并称关系,[f|m],父母,父母、爹娘、爹妈、爸妈、爸爸妈妈、父母亲、双亲、二亲、两亲、二老、高堂
并称关系,"[f|m],[f,xs|m,xb],s",舅姑爸,舅姑爸、姑舅爸
并称关系,"[f|m],[f,xs|m,xb],s&o,w",舅姑姆,舅姑姆、姑舅姆
并称关系,"[f|m],[f,xs|m,xb],s&l,w",舅姑婶,舅姑婶、姑舅婶
并称关系,"[f|m],[f,xs|m,xb],d",姑舅娘娘,姑舅娘娘
并称关系,"[f|m],m,xs,s",两姨爸,两姨爸
并称关系,"[f|m],m,xs,s&o,w",两姨姆,两姨姆
并称关系,"[f|m],m,xs,s&l,w",两姨婶,两姨婶
并称关系,"[f|m],m,xs,d",两姨娘娘,两姨娘娘
并称关系,"w,[f|m]",岳父母,岳父母、岳父岳母、丈人丈母、舅姑
并称关系,"w,f,[ob|ob,w]",伯岳父母,伯岳父母
并称关系,"w,f,[lb|lb,w]",叔岳父母,叔岳父母
并称关系,"w,f,[xs|xs,h]",姑岳父母,姑岳父母
并称关系,"w,m,[xb|xb,w]",舅岳父母,舅岳父母
并称关系,"w,m,[xs|xs,h]",姨岳父母,姨岳父母
并称关系,"w,[f,xs|m,xb],d",姑舅姨子,姑舅姨子
并称关系,"w,[f,xs|m,xb],d,h",姑舅连襟,姑舅连襟、姑舅连桥
并称关系,"h,[f|m]",公婆,公婆、翁姑、姑翁、姑舅、大家官、公公婆婆、姑章、姑嫜
并称关系,"h,f,[ob|ob,w]",伯公婆,伯公婆
并称关系,"h,f,[lb|lb,w]",叔公婆,叔公婆
并称关系,"h,f,[xs|xs,h]",姑公婆,姑公婆
并称关系,"h,m,[xb|xb,w]",舅公婆,舅公婆
并称关系,"h,m,[xs|xs,h]",姨公婆,姨公婆
并称关系,[xb|xs],兄弟姐妹,兄弟姐妹、同胞、同胞兄弟姐妹、手足
并称关系,[ob|os],哥哥姐姐,哥哥姐姐
并称关系,[lb|ls],弟弟妹妹,弟弟妹妹
并称关系,"[ob|ob,w]",哥哥嫂嫂,哥哥嫂嫂、兄嫂
并称关系,"[f,xb|m,xs],[s|d]",从兄弟姐妹,从兄弟姐妹、从姐妹兄弟
并称关系,"[f,xs|m,xb],[s|d]",表兄弟姐妹,表兄弟姐妹、表姐妹兄弟、老表、阿表
并称关系,"[f,xs|m,xb],s",姑舅兄弟,姑舅兄弟、舅姑兄弟
并称关系,"[f,xs|m,xb],s&o",姑舅哥,姑舅哥、姑舅哥哥
并称关系,"[f,xs|m,xb],s&l",姑舅弟,姑舅弟、姑舅弟弟
并称关系,"[f,xs|m,xb],d",姑舅姊妹,姑舅姊妹、舅姑姊妹
并称关系,"[f,xs|m,xb],d&o",姑舅姐,姑舅姐、姑舅姐姐
并称关系,"[f,xs|m,xb],d&l",姑舅妹,姑舅妹、姑舅妹妹
并称关系,"[f,xs|m,xb],s,s",姑舅儿子,姑舅儿子
并称关系,"[f,xs|m,xb],s,d",姑舅女儿,姑舅女儿
并称关系,"[xb|xs],[s|d]",侄甥,侄甥
并称关系,"xb,[s|d]",侄子女,侄子女、侄子侄女
并称关系,"xs,[s|d]",甥子女,甥子女、外甥子女
并称关系,[w|s|d],妻儿,妻儿、妻小
并称关系,[w|d],妻女,妻女
并称关系,[s|d],子女,子女、儿女、仔女、小孩、孩子、孩子们、孩儿、小孩儿、宝宝、宝贝、娃、娃子、儿辈、子辈、细伢、伢子、子息、子嗣、崽、幺儿
并称关系,"[s|d],[s|d]",孙辈,孙辈、孙息、孙枝
并称关系,"s,[s|d]",孙子女,孙子女
并称关系,"d,[s|d]",外孙子女,外孙子女
并称关系,"s#xb,s",子侄,子侄
并称关系,"s#s,w",子媳,子媳
并称关系,"[s|d]#[s|d],[s|d]",儿孙,儿孙、子孙、孙息
并称关系,"[s,w|d,h],[f|m]",亲家,亲家、儿女亲家
并称关系,"[s,w|d,h],f",亲家公,亲家公、亲家父、亲家翁、亲家世翁、姻翁
并称关系,"[s,w|d,h],f,f",太姻翁,太姻翁
并称关系,"[s,w|d,h],f,m",太姻姆,太姻姆
并称关系,"[s,w|d,h],f,f,f",太姻翁,太姻翁
并称关系,"[s,w|d,h],f,f,m",太姻姆,太姻姆
并称关系,"[s,w|d,h],f,f,ob",姻伯翁,姻伯翁
并称关系,"[s,w|d,h],f,f,ob,w",姻伯姆,姻伯姆
并称关系,"[s,w|d,h],f,f,lb",姻叔翁,姻叔翁
并称关系,"[s,w|d,h],f,f,lb,w",姻叔母,姻叔母
并称关系,"[s,w|d,h],f,f,xb,s&o",姻家兄,姻家兄
