分类,关系链编码,主称呼,所有称呼(别名)
主要关系,"m,f,lb",叔外公,叔外公、外叔祖、叔外祖、小外公、小姥爷、小外爷
主要关系,"m,f,lb,w",叔外婆,叔外婆、外婶婆、小外婆、小姥姥、婶姥姥、小姥奶
主要关系,"m,f,xs",姑外婆,姑外婆、姑婆、恩婆
主要关系,"m,f,xs,h",姑外公,姑外公、姑公、恩爹、外姑丈公、外丈公
主要关系,"m,m,xb",舅外公,舅外公、舅公、舅爹
主要关系,"m,m,xb,w",舅外婆,舅外婆、舅婆、妗姥姥、妗姥娘、妗姥、外妗婆
主要关系,"m,m,xs",姨外婆,姨外婆、姨婆
主要关系,"m,m,xs,h",姨外公,姨外公、姨公、外姨丈公、外丈公
主要关系,f,爸爸,爸爸、父亲、老父亲、老爸、阿爸、阿父、阿爹、老窦、爹地、依爹、老爹、老汉、老爷子、老子、牙老子、爸、父、爹、老汉儿、牙老倌、爸比、爹爹、爹啲、一世祖
主要关系,"f,ob",伯父,伯父、伯伯、伯爸、阿伯、伯爷、依伯、伯儿、大伯、大爹、大爸、大爸爸、世父、大爷、大大、几伯、伯
主要关系,"f,ob,w",伯母,伯母、伯妈、伯娘、依姆、世母、大娘、伯妇、大嬷、大妈、大妈妈、大姆妈、伯姐、姆
主要关系,"f,lb",叔叔,叔叔、叔父、叔爸、阿叔、叔爹、依叔、叔儿、小叔、小爹、小爸、小爸爸、仲父、季父、叔仔、几叔、叔
主要关系,"f,lb,w",婶婶,婶婶、叔母、叔妈、阿婶、叔娘、依婶、婶儿、小婶、小娘、小妈、小妈妈、仲母、季母、叔妇、几婶、婶、婶母、婶妈、婶娘、婶子、家婶、婶爹、嬢嬢
主要关系,"f,xb,s&o",堂哥,堂哥、堂老兄
主要关系,"f,xb,s&o,w",堂嫂,堂嫂、堂兄嫂
主要关系,"f,xb,s&l",堂弟,堂弟、堂老弟
主要关系,"f,xb,s&l,w",堂弟媳,堂弟媳、堂弟妇、堂弟妹
主要关系,"f,xb,s,s",堂侄,堂侄、再从子
主要关系,"f,xb,s,s,w",堂侄媳妇,堂侄媳妇
主要关系,"f,xb,s,s,s",堂侄孙,堂侄孙、再从孙
主要关系,"f,xb,s,s,s,s",堂曾孙,堂曾孙、再曾孙
主要关系,"f,xb,s,s,s,s,s",堂玄孙,堂玄孙、再玄孙
主要关系,"f,xb,s,d",堂侄女,堂侄女
主要关系,"f,xb,s,d,h",堂侄女婿,堂侄女婿
主要关系,"f,xb,d&o",堂姐,堂姐、堂大姐
主要关系,"f,xb,d&o,h",堂姐夫,堂姐夫
